date,open,high,low,close,volume,turnover,ret_1,ret_2,ret_3,sma_5,sma_10,sma_20,ema_12,ema_26,vol_10,vol_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,vol_change_1,vol_mean_10,close_lag1,ret_lag_1,close_lag2,ret_lag_2,close_lag3,ret_lag_3,close_lag5,ret_lag_5,close_lag10,ret_lag_10,target
06-02-2019,10965.1,11072.6,10962.7,11062.45,298510497,15172.85,-0.53157069,-0.380582829,-0.376619388,16886.02,17270.61,17847.755,17241.55373,17507.52402,0.388455776,0.424777028,45.94854417,-265.9702971,-37.64094852,-228.3293485,27832.37246,7863.137541,1.118865365,0.073540093,371317322.1,23616.05,0.322327955,17859.45,0.006398661,17745.9,0.254459662,11993.05,-0.514616487,24213.3,0.997747581,TRUE
07-02-2019,11070.45,11118.1,11043.6,11069.4,263544426,13542.69,-0.533092345,-0.378566977,-0.21701026,15756.06,17072.26,17799.4075,16926.82709,17401.83562,0.336419882,0.346946716,49.24488989,-475.0085278,-118.2113108,-356.797217,28031.36515,7567.449846,1.149696433,0.004601607,307702093.5,23707.9,0.330954881,17812.7,0.259974465,14137.35,0.172936916,10771.8,-0.563502419,11921.5,-0.532667966,FALSE
08-02-2019,11023.5,11041.2,10925.45,10943.6,352787419,15507.05,-0.538029334,-0.491302933,-0.237233616,16503.63,16331.44,17968.775,17137.37376,17504.06855,0.359424046,0.336199851,49.22456231,-366.6947885,-72.46194706,-294.2328415,28178.90584,7758.644159,1.136430373,0.324399491,350913132.9,23688.95,0.101145819,21513,0.499451114,14347.25,0.193083777,10802.15,-0.483179155,25492.3,0.053429121,FALSE
11-02-2019,10930.9,10930.9,10857.1,10888.8,285985383,13818.92,-0.496988063,-0.391540985,-0.396934495,16594.44,16122.36,17667.45,16922.82628,17498.16507,0.386422811,0.365256023,48.84093779,-575.3387946,-222.3722472,-352.9665473,27588.67252,7746.227481,1.123107468,0.346105808,358134050.5,21647.2,0.209631364,17895.7,-0.008864212,18055.75,0.246535149,10794.95,-0.561360095,25574.35,0.316545133,FALSE
12-02-2019,10879.7,10910.9,10823.8,10831.4,292314643,14424.78,-0.505292413,-0.393477506,-0.405271698,16671.99,18011.78,17807.7575,17660.35305,17952.91514,0.362588207,0.358874721,49.22130979,-292.5620973,139.4901917,-432.052289,27512.05961,8103.455388,1.089896031,-0.008021679,447255416.2,21894.55,0.226022219,17858.2,-0.019445596,18212.35,0.250551895,24641.8,0.173581114,24141.3,0.315623689,FALSE
13-02-2019,10870.55,10891.65,10772.1,10793.65,321958549,15360.98,-0.532458053,-0.398903467,-0.408819792,16931.77,17291.245,18247.265,17635.0177,18084.60709,0.3863523,0.345188755,48.74421055,-449.5893857,1.439233424,-451.0286191,27729.82265,8764.707345,1.039340159,0.017307327,403118472.3,23085.95,0.285652629,17956.6,-0.016497059,18257.8,0.253552216,12329.55,-0.497751408,25875.8,0.08341969,FALSE
14-02-2019,10786.1,10792.7,10718.75,10746.05,627041405,20797.41,-0.53632953,-0.411360804,-0.263747294,15827.15,17154.425,17861.38,16951.3716,17454.38996,0.335466475,0.343576024,48.74325756,-503.0183612,-100.1202526,-402.8981086,27940.04982,7782.710181,1.128543239,1.014684652,371745450.4,23176.05,0.269520562,18255.75,0.25077078,14595.6,0.180654085,10737.6,-0.566478119,12086.7,-0.532956067,FALSE
15-02-2019,10780.25,10785.75,10620.4,10724.4,521876968,20733.95,-0.538004239,-0.514677033,-0.256988852,16562.41,16442.49,17730.895,17067.08783,17391.18537,0.362677992,0.338512557,49.16984326,-324.0975441,-59.49931106,-264.598233,28179.71781,7282.072187,1.178600721,1.288541043,425190346.1,23213.2,0.050492251,22097.45,0.530962262,14433.7,0.169355035,10886.8,-0.486052297,25910.05,0.101023257,FALSE
18-02-2019,10738.65,10759.9,10628.4,10640.95,345440240,14903.19,-0.504201563,-0.414217177,-0.412525776,16532.58,16079.675,17741.405,16877.80485,17354.07165,0.380427569,0.356352668,48.49032,-476.2667961,-64.54979082,-411.7170053,27644.70957,7838.100431,1.116405896,-0.108175997,383705412.5,21462.25,0.181493888,18165.35,0.002887421,18113.05,0.268305406,10906.95,-0.551818294,26013.45,0.318351595,FALSE
19-02-2019,10636.7,10722.85,10585.65,10604.35,291507060,13765.01,-0.509566468,-0.414378294,-0.408846385,16558.83,18030.39,17840.195,17609.5854,17973.33787,0.356614232,0.351833337,49.05157424,-363.7524633,94.2775521,-458.0300154,27319.44248,8360.947518,1.06268429,-0.150261752,349843146.1,21622.4,0.194089856,18107.85,0.009446216,17938.4,0.235329158,24198.85,0.129802765,23453.8,0.281092876,TRUE
20-02-2019,10655.45,10752.7,10646.4,10735.45,289195306,13209.71,-0.540134291,-0.502338701,-0.404500864,18287.33,18213.115,18071.48,17858.08057,18019.41078,0.322085076,0.376629758,49.19747942,-161.3302091,108.5031676,-269.8333768,28048.06668,8094.893318,1.104125028,-0.040669853,303844886,23344.75,0.08218832,21571.8,0.19659523,18027.65,0.015241876,14644.7,0.197974568,12259.7,-0.529425989,TRUE
21-02-2019,10744.1,10808.85,10721.5,10789.85,279584955,14758.5,-0.531378327,-0.387537144,-0.260480386,15638.37,16889.085,17251.005,16689.70189,17202.09346,0.317451525,0.367332201,49.20811213,-512.3915715,-161.8154486,-350.5761229,27210.53287,7291.477131,1.154660597,-0.106391601,361381125.1,23024.65,0.306945221,17617.15,0.207452186,14590.35,0.198893166,10961.85,-0.53526868,12271.8,-0.531470307,TRUE
22-02-2019,10782.7,10801.55,10758.4,10791.65,396846597,24386.42,-0.533945719,-0.249114592,-0.108636397,14269.71,16697.01,17915.7925,16568.11269,17389.25759,0.379494499,0.360026017,40.98214067,-821.1449002,-281.4218308,-539.7230694,28088.46017,7743.12483,1.135609008,0.438100521,390562150.1,23155.35,0.611154405,14371.9,0.187083399,12106.9,0.108411343,21255.05,0.167917644,23349.9,0.180277404,TRUE
25-02-2019,10813.25,10887.1,10788.05,10880.1,385905142,16466.09,-0.490455495,-0.391899709,-0.370289878,16328.3,15911.725,17919.5275,16742.59234,17321.86386,0.370248327,0.354822474,48.49277345,-579.2715244,-208.0997764,-371.1717481,28162.02137,7677.033625,1.143165619,-0.077097857,377175502.5,21352.6,0.193419387,17891.95,0.035536623,17277.95,0.21343292,10780.55,-0.545654542,25959.5,0.3114369,FALSE
26-02-2019,10775.3,10888.75,10729.3,10835.3,414954476,19186.75,-0.55266515,-0.414711483,-0.382119895,16792.92,17512.305,17907.88,17388.84907,17693.33404,0.357175427,0.375329909,49.86657513,-304.4849733,11.08210143,-315.5670747,28070.76141,7744.99859,1.135017814,-0.396142449,404524111.7,24221.9,0.308390164,18512.75,0.055684653,17536.25,0.363797206,12073.75,-0.500688563,11583.9,-0.534612117,FALSE
27-02-2019,10881.2,10939.7,10751.2,10806.65,381080073,18313.85,-0.526629331,-0.386137517,-0.368407057,16463.56,16976.95,17772.2,16995.26029,17384.28366,0.367004369,0.347917572,44.77449573,-389.0233758,-106.3328324,-282.6905434,27606.9872,7937.412802,1.106760806,0.480654085,370638981.1,22829.15,0.296790282,17604.35,0.028883441,17110.15,0.224997315,12119,-0.489730613,24194.5,0.420994981,FALSE
28-02-2019,10865.7,10865.7,10784.85,10792.5,644159018,27123.34,-0.529887073,-0.368931613,-0.218928102,15345.01,16807.33,16707.07,16410.35454,16853.92277,0.329655869,0.397076228,41.30441136,-443.5682255,-142.377486,-301.1907395,26694.42463,6719.715369,1.19558422,0.7800909,368974925.2,22957.25,0.342376162,17101.95,0.237697711,13817.55,0.146132982,10661.55,-0.552287788,12245.8,-0.495536542,TRUE
05-03-2019,10864.85,10994.9,10817,10987.45,373220239,17960.03,-0.536322126,-0.495333392,-0.26378545,16693.77,16623.09,17308.1825,17126.72766,17500.871,0.350449609,0.352687749,40.8692185,-374.1433395,-187.3391217,-186.8042178,27395.52167,7220.843335,1.165615069,0.397753514,436602943.9,23696.3,0.08839916,21771.7,0.458813676,14924.25,0.234516074,10934.35,-0.496363561,24467.45,0.182756637,TRUE
06-03-2019,11024.85,11062.3,10998.85,11053,372550850,17850.93,-0.531719014,-0.495973442,-0.37780755,17297.66,17091.84,17240.6625,17280.25321,17451.08574,0.33644187,0.413243586,49.35358335,-170.8325337,-84.86961051,-85.96292316,26981.48335,7499.841648,1.129982198,0.213604952,358172969.1,23603.35,0.076333598,21929.4,0.234443781,17764.6,0.463558509,11062.45,-0.53157069,11993.05,-0.514616487,TRUE
07-03-2019,11077.95,11089.05,11027.1,11058.2,321208766,15321.68,-0.530635676,-0.495761611,-0.376000903,18296.75,17030.945,17781.585,17213.07016,17383.0845,0.33198803,0.340118994,44.62149304,-170.0143363,-164.276536,-5.737800288,28087.47196,7475.698039,1.159164041,-0.127369393,345286692.8,23559.95,0.074300632,21930.5,0.237508112,17721.5,0.02950574,12098.35,0.092954451,12052.95,0.118935554,FALSE
08-03-2019,11038.85,11049,11008.95,11035.4,326569833,14369.77,-0.491876535,-0.382520969,-0.360887254,16601.52,16552.575,17281.76,16728.40988,17193.28473,0.335325864,0.341032997,48.20776585,-464.8748536,-230.0279185,-234.846935,26681.0883,7882.431698,1.087774428,-0.334982843,395848223,21717.95,0.215214557,17871.7,0.035035545,17266.75,0.142298125,10943.6,-0.538029334,10802.15,-0.483179155,TRUE
11-03-2019,11068.75,11180.9,11059.85,11168.05,352242287,17349.95,-0.515943706,-0.357225284,-0.263966968,15779.16,16186.8,16689.78,16344.92194,16973.51995,0.316630054,0.350255564,49.5255618,-628.5980145,-489.5316765,-139.066338,25862.54257,7517.017431,1.099207128,0.314484139,350537777.9,23071.8,0.327892488,17374.75,0.145087094,15173.3,0.253173548,10888.8,-0.496988063,10794.95,-0.561360095,TRUE
12-03-2019,11231.35,11320.4,11227,11301.2,391310519,20861.35,-0.509608271,-0.477184777,-0.254700494,16665.4,16668.695,17423.6,17155.46399,17564.89949,0.342509222,0.342385139,40.96497092,-409.4355041,-191.5522205,-217.8832836,27358.71002,7488.489984,1.140419892,0.399254088,393191457.9,23045.25,0.066117538,21616.05,0.425550507,15163.3,0.242771203,10831.4,-0.505292413,24641.8,0.173581114,TRUE
13-03-2019,11326.2,11352.3,11276.6,11341.7,382996187,20851.67,-0.507554903,-0.478380647,-0.361782465,17212.38,17072.075,17952.635,17403.85845,17816.54247,0.328757193,0.342101622,49.56469535,-412.6840162,-232.4659564,-180.2180598,27734.58204,8170.687961,1.089750562,0.441423809,382007304.7,23031.4,0.059243673,21743.25,0.223531166,17770.9,0.459664138,10793.65,-0.532458053,12329.55,-0.497751408,TRUE
14-03-2019,11382.5,11383.45,11313.75,11343.25,294480678,15661.05,-0.505293457,-0.48062161,-0.367353882,18177.04,16977.21,17775.5675,17165.05001,17381.13931,0.317631868,0.329829756,44.72258282,-216.0892995,-196.5605951,-19.52870434,27818.7777,7732.357298,1.130001639,0.157187563,386908163.6,22929.25,0.049871681,21840.05,0.218083252,17929.85,0.064540931,12113.45,0.127246756,12362.3,0.151309417,TRUE
