date,open,high,low,close,volume,turnover,ret_1,ret_2,ret_3,sma_5,sma_10,sma_20,ema_12,ema_26,vol_10,vol_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,vol_change_1,vol_mean_10,close_lag1,ret_lag_1,close_lag2,ret_lag_2,close_lag3,ret_lag_3,close_lag5,ret_lag_5,close_lag10,ret_lag_10,target,sma_50
2019-01-02,10868.85,10895.35,10735.05,10792.5,309665939,15352.25,,,,,,,10792.5,10792.5,,,,0.0,0.0,0.0,,,,,,,0.0773634551495017,,0.0958588912383713,,0.3095456955309501,,0.2799072101700179,24836.3,-0.037237032356601,False,
2019-01-03,10796.8,10814.05,10661.25,10672.25,286241745,15030.45,-0.011141996757007222,,,,,,10774.0,10783.592592592591,,,,-9.592592592591245,-1.9185185185182492,-7.674074074072996,,,,-0.07564343071002066,,10792.5,0.2984552928150792,,0.0743866242568949,,0.3269774092078925,,-0.3703003932943958,24579.6,-0.0276556943197238,True,
2019-01-04,10699.7,10741.05,10628.65,10727.35,296596655,14516.74,0.005162922532736758,-0.006036599490386818,,,,,10766.823076923078,10779.42647462277,,,,-12.603397699691413,-4.055494354752883,-8.54790334493853,,,,0.036175401320307055,,10672.25,0.422200189571255,10792.5,0.3093369067832099,,0.0950209267812776,,0.3397059894127068,24894.25,-0.0140930134930158,True,
2019-01-07,10804.85,10835.95,10750.15,10771.8,269371080,12731.29,0.004143614219727976,0.00932792991168685,-0.0019179986101459656,,,,10767.58875739645,10778.861550576637,,,,-11.272793180187364,-5.498954119839778,-5.773839060347585,,,,-0.0917932638181641,,10727.35,0.1786299354752432,10672.25,0.1231014737632592,10792.5,0.1023222811867137,,-0.5326679655189986,11966.05,-0.5228400587774373,True,
2019-01-08,10786.25,10818.45,10733.25,10802.15,277697672,13433.48,0.0028175421006702006,0.006972831127911361,0.01217175384759539,10753.210000000001,,,10772.90587164315,10780.586620904294,,,,-7.6807492611442285,-5.9353131481006685,-1.74543611304356,,,,0.030911232193151505,,10771.8,0.1261092104199779,10727.35,0.080562622622506,10672.25,0.2860902607491156,,0.0534291210301103,25108.3,0.0126049827087302,True,
2019-01-09,10862.4,10870.4,10749.4,10855.15,333010535,16213.3,0.004906430664265882,0.007737796839896838,0.011913473504640004,10765.74,,,10785.55881446728,10786.109834170644,,,,-0.5510197033636359,-4.858454459153262,4.307434755789626,,,,0.1991837475684708,,10802.15,0.1268206573577261,10771.8,0.0652327594842512,10727.35,0.3043989561672371,10792.5,0.2419677527194177,25013.15,0.3977574992176673,False,
2019-01-10,10859.35,10859.35,10801.8,10821.6,254365477,12031.26,-0.0030906988848610206,0.001800567479622206,0.004623182754971422,10795.61,,,10791.103612241544,10788.73873534319,,,,2.3648768983548507,-3.41378818765164,5.778665086006491,,,,-0.23616387391467963,,10855.15,0.3310013732253496,10802.15,0.0559318598949012,10771.8,0.2947535312770248,10672.25,-0.3845158363108588,25181.8,0.0079997758381551,False,
2019-01-11,10834.75,10850.15,10739.4,10794.95,260792200,13084.6,-0.002462667258076423,-0.005545754779989087,-0.0006665339770322021,10809.130000000001,,,10791.695364204383,10789.198829021472,,,,2.4965351829105202,-2.231723513539208,4.728258696449728,,,,0.025265704590878846,,10821.6,0.4053810967775093,10855.15,0.2992217119369653,10802.15,0.1367569664665002,10727.35,0.316545133034926,25285.35,0.0114767115561162,False,
2019-01-14,10807.0,10808.0,10692.35,10737.6,298774178,12732.57,-0.005312669350020172,-0.007762253271235253,-0.010828961368566925,10802.289999999999,,,10783.373000480633,10785.376693538401,,,,-2.0036930577680323,-2.186117422384973,0.18242436461694078,,,,0.14564077453236712,,10794.95,0.1835938899999283,10821.6,0.1245888865004298,10855.15,0.0713802484418406,10771.8,-0.5329560669496487,11840.45,-0.5306502664766612,True,
2019-01-15,10777.55,10896.95,10777.55,10886.8,310737078,14879.91,0.013895097600953532,0.008508608191793332,0.0060249870629112134,10819.220000000001,10786.215,,10799.284846560535,10792.889531054074,,,,6.395315506460975,-0.46983083661578373,6.865146343076758,,,,0.04003993946223816,289725255.9,10737.6,0.1351746756483016,10794.95,0.0770798099844731,10821.6,0.2778218267241477,10802.15,0.1010232569998341,25145.5,0.0006984254585034,True,
2019-01-16,10899.65,10928.15,10876.9,10890.3,276539042,13081.63,0.00032149024506744617,0.014221054984353998,0.008832833871393442,10826.25,10795.994999999999,,10813.287177858912,10800.105121346363,0.006899788008905981,,,13.182056512549025,2.260546633217178,10.921509879331847,,,,-0.1100545716015261,286412566.2,10886.8,0.1651787411281082,10737.6,0.0693033086740915,10794.95,0.2692799522400382,10855.15,0.0691203799297954,25057.35,1.145256777408211,True,
2019-01-17,10920.85,10930.65,10844.65,10905.2,271676319,13215.83,0.001368190040678563,0.00169012014549752,0.015608702130829988,10842.97,10819.289999999999,,10827.427612034464,10807.889927172559,0.005451040266799973,,,19.53768486190529,5.715974278954801,13.821710582950491,,,,-0.017584218723083578,284956023.6,10890.3,0.3502791614209863,10886.8,0.0591707056886434,10737.6,0.2605991507524099,10821.6,-0.3901427761924999,24971.3,0.265539042406274,True,
2019-01-18,10914.85,10928.2,10852.2,10906.95,323814108,16408.83,0.00016047390235840453,0.0015288835018321123,0.0018508652680311322,10865.369999999999,10837.25,,10839.661825567624,10815.227710344961,0.005375375920329688,,,24.434115222662513,9.459602467696342,14.97451275496617,,,,0.19191142309315512,287677768.9,10905.2,0.432776770364788,10890.3,0.236123341605595,10886.8,0.1295273325113028,10794.95,0.3183515948874407,25709.85,0.0387881138673567,True,
2019-01-21,10919.35,10987.45,10885.75,10961.85,288829125,17289.7,0.005033487821985094,0.00519476946777675,0.0065700669403048195,10910.220000000001,10856.255000000001,,10858.460006249528,10826.08862068978,0.005427898736883302,,,32.37138555974889,14.041959086106854,18.329426473642034,,,,-0.10804032973140254,289623573.4,10906.95,0.1152403174445571,10905.2,0.1503837304803295,10890.3,0.1066015817794416,10737.6,-0.5314703069431108,25843.15,0.3223974230721012,False,
2019-01-22,10949.8,10949.8,10864.15,10922.75,300768112,17483.62,-0.003566916168347478,0.00144861762454207,0.00160932399222391,10917.41,10868.314999999999,,10868.35077451883,10833.248722860908,0.005660654698271617,,59.52050288721586,35.10205165792286,18.253977600470055,16.848074057452802,,,,0.041335814038836904,291930617.4,10961.85,0.1679176442791128,10906.95,0.0851626482855669,10905.2,0.258279313345938,10886.8,0.1164137747913267,25868.6,0.0438842504973548,False,
2019-01-23,10931.05,10944.8,10811.95,10831.5,298876314,14736.91,-0.008354123274816327,-0.011891240985782536,-0.006917607580487761,10905.65,10865.95,,10862.681424592856,10833.119187834174,0.006203612922600452,,62.155560644225645,29.562236758682047,20.515629432112455,9.046607326569593,,,,-0.006289888869602023,288517195.3,10922.75,0.1777452302735922,10961.85,0.0691164197942253,10906.95,0.2591023517967075,10890.3,0.2067146682414817,24472.1,0.3509376259322434,True,
2019-01-24,10844.05,10866.6,10798.65,10849.8,361082096,15298.48,0.0016895166874393297,-0.006678721018058664,-0.010221814748422986,10894.57,10868.77,,10860.699666963186,10834.35480355016,0.006140035973009482,,59.90295188030726,26.34486341302545,21.681476228295054,4.6633871847303965,,,,0.20813219076303247,299188857.2,10831.5,0.3339538827863513,10922.75,0.0430045804388319,10961.85,0.255236708795612,10905.2,-0.3807317442682557,25891.4,0.0595813468109922,False,
2019-01-25,10859.75,10931.7,10756.45,10780.55,463444758,20542.36,-0.006382606130988622,-0.004703872963116917,-0.013018699503330233,10869.289999999999,10867.33,,10848.36894896885,10830.369262546445,0.0064516133632317825,,50.680351450120526,17.99968642240492,20.945118267117028,-2.9454318447121075,,,,0.28348861140985515,319454113.0,10849.8,0.3954363008159964,10831.5,0.2367038202083751,10922.75,0.1256452345767957,10906.95,0.3114368997762027,25795.15,0.0572042755149717,False,
2019-01-28,10792.45,10804.45,10630.95,10661.55,419682627,21144.33,-0.011038397855396953,-0.017350550240557427,-0.015690347597285714,10809.23,10859.725,,10819.627572204412,10817.86413198745,0.007177422280995272,,40.39223725570585,1.7634402169624082,17.108782657086106,-15.345342440123698,,,,-0.09442793395453619,331544957.9,10780.55,0.0996848266546601,10849.8,0.1942638275342896,10831.5,0.0612217426293071,10961.85,-0.4955365418601107,19047.25,0.0738740313300765,False,
2019-01-29,10653.7,10690.35,10583.65,10652.2,356908994,18832.06,-0.000876983177867996,-0.01190570054403517,-0.018212317277737755,10755.119999999999,10836.265000000001,10811.24,10793.869484172963,10805.592714803193,0.00504649947705088,,35.251798561151105,-11.723230630230319,11.342379999622823,-23.06561062985314,10989.93425991429,10632.54574008571,0.03305712571625261,-0.14957405658824185,336162149.5,10661.55,0.2017492067871431,10780.55,0.0516008297912464,10849.8,0.242197185941239,10922.75,0.2023383962553482,24339.15,0.3683827332628693,False,
2019-01-30,10702.25,10710.2,10612.85,10651.8,410107910,21214.81,-3.7550928446816734e-05,-0.0009145011747823117,-0.01194280440237283,10719.179999999998,10812.414999999999,10804.205,10772.012640454046,10794.200661854808,0.005028090251795174,0.006090580265818017,37.0361887311039,-22.1880214007615,4.636299719545958,-26.82432112030746,10996.56178719231,10611.84821280769,0.03560776330925036,0.1490545682353972,349519036.3,10652.2,0.1946237150239129,10661.55,0.0567806850397361,10780.55,0.2354908631554768,10831.5,0.2007553516515232,26053.9,0.0648653177666926,True,
2019-01-31,10690.55,10838.05,10678.55,10830.95,604818027,27471.18,0.01681875363788299,0.016780571149621615,0.01588887169314046,10715.41,10804.990000000002,10812.14,10781.079926538037,10796.922835050747,0.007836236427065444,0.006728332292242448,52.22937825117661,-15.842908512709982,0.5404580730947699,-16.38336658580475,10994.406013230519,10629.87398676948,0.033715067180136234,0.47477776519843284,382833207.1,10651.8,0.305965656465234,10652.2,0.0523920378750228,10661.55,0.2304399600914035,10849.8,-0.391260185316257,24340.85,0.2716669540094769,True,
2019-02-04,10876.75,10927.9,10814.15,10912.25,318300039,15478.81,0.007506266763303238,0.024451266452618414,0.02441279735641455,10741.75,10805.52,10821.384999999998,10801.259937839877,10805.465588009953,0.008254365891904213,0.006828699776697157,60.503999518854855,-4.205650170075387,-0.4087635755392615,-3.7968865945361254,11004.298577810308,10638.471422189688,0.033805945876671066,-0.47372593938903873,382281800.2,10830.95,0.2003912885642313,10651.8,0.0133499950857192,10652.2,0.2598440518223437,10780.55,-0.5613818453908161,25763.35,0.3397059894127068,True,
2019-02-05,10908.65,10956.7,10886.7,10934.35,268095127,13435.13,0.0020252468555981284,0.009546715662061,0.026526033158715157,10796.310000000001,10802.77,10829.5125,10821.735332018357,10815.012581490697,0.008107252262160974,0.006791692409639635,53.37593184238559,6.722750527660537,1.0175392451006982,5.705211282559839,11017.523605145136,10641.501394854866,0.034721988666643104,-0.1577282621696443,380208400.4,10912.25,0.2066818028973744,10830.95,0.0037321655207041,10651.8,0.2623859995070248,10661.55,0.1827566370825841,23995.35,0.3244550053402437,True,
