date,open,high,low,close,volume,turnover,ret_1,ret_2,ret_3,sma_5,sma_10,sma_20,ema_12,ema_26,vol_10,vol_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,vol_change_1,vol_mean_10,close_lag1,ret_lag_1,close_lag2,ret_lag_2,close_lag3,ret_lag_3,close_lag5,ret_lag_5,close_lag10,ret_lag_10
01-04-2024,22455.0,22529.95,22427.75,22462.0,243637071,21420.69,0.27116174177793995,0.5108274171254459,1.7214131672684099,14984.55,16381.959999999997,16461.635000000002,16509.977726293557,15341.301419412077,0.4119670220246081,0.3408396992985631,58.410368906363516,1168.6763068814798,1068.2032676201427,100.47303926133714,26122.661592399625,6800.608407600379,1.1737627024775634,-0.1649786041016954,358043874.6,17670.45,0.18854066124763325,14867.35,0.8012733528798859,8253.8,-0.2926819862629241,22338.75,0.2800915712083616,21697.45,0.2316689656738362
01-04-2025,23341.1,23565.15,23136.4,23165.7,375118343,30680.7,0.0313284658534414,0.31098528899943134,0.5581593222733037,17283.86,16350.314999999999,17010.795000000002,17533.93499917147,15920.886499455628,0.41232846879665563,0.3411447387910275,57.13136742134184,1613.048499715842,1177.1723140392826,435.8761856765593,26893.744404797617,7127.845595202387,1.1619620840528164,0.5396603704860661,366785345.2,22462.0,0.27116174177793995,17670.45,0.18854066124763325,14867.35,0.8012733528798859,11669.15,-0.477627441105702,23482.15,0.08225390541284816
01-06-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92,-0.575831941188913,-0.5625434066423293,-0.44392191483521926,17598.329999999998,16246.579999999998,16801.1775,16348.12192237586,15469.42453653299,0.4188604025405138,0.3721739008630362,44.642541155392365,878.6973858428701,1117.4773284000003,-238.7799425571302,27119.600236847407,6482.754763152596,1.2282975686492694,1.1171535245345225,415351026.5,23165.7,0.0313284658534414,22462.0,0.27116174177793995,17670.45,0.18854066124763325,8253.8,-0.2926819862629241,10863.5,-0.5373720038412155
01-06-2021,15629.65,15660.75,15528.3,15574.85,409562322,27964.09,0.5850409366842559,-0.3276762627505321,-0.30661339150565403,17739.83,16327.91,16492.825,16229.157011241112,15477.23383012314,0.4412967381946792,0.37461761485280465,48.69213023024581,751.9231811179725,1044.3664989435947,-292.4433178256222,26554.98226548056,6430.667734519442,1.2201860221618261,-0.484297373421139,405576961.0,9826.15,-0.575831941188913,23165.7,0.0313284658534414,22462.0,0.27116174177793995,14867.35,0.8012733528798859,14761.55,0.35882082201868637
01-06-2022,16594.4,16649.2,16438.85,16522.75,249619038,19350.33,0.060860939270683145,0.6815080168733432,-0.2867580086075534,17510.29,16235.095000000001,16131.8175,16274.325163357864,15554.67947233624,0.4404331769961024,0.3745438769909519,46.54612903742544,719.6456910216239,979.4223373592006,-259.7766463375767,25599.258344298392,6664.376655701606,1.173759973951899,-0.390522456311301,403250723.9,15574.85,0.5850409366842559,9826.15,-0.575831941188913,23165.7,0.0313284658534414,17670.45,0.18854066124763325,17450.9,0.18218615253818204
01-06-2023,18579.4,18580.3,18464.55,18487.75,265630759,24056.99,0.11892693407574395,0.18702587825885963,0.8814846099438742,16715.44,15849.995,16511.5225,16614.85206130281,15771.94395586689,0.4355124088912889,0.34695544384684807,46.6744748767843,842.9081054359194,952.1194909745444,-109.211385538625,25699.41582834963,7323.629171650371,1.1129068598428316,0.06414463066715292,394663492.3,16522.75,0.060860939270683145,15574.85,0.5850409366842559,9826.15,-0.575831941188913,22462.0,0.27116174177793995,22338.75,0.2800915712083616
01-07-2019,11839.9,11884.65,11830.8,11865.6,278415889,12874.96,-0.3581912347365147,-0.28186288602078946,-0.23815638673887707,14455.420000000002,15869.64,16521.71,15884.197898025453,15482.585144321192,0.42015901522677895,0.361289109285532,50.72515681217563,401.6127537042612,842.0181435204879,-440.4053898162267,25687.387049422796,7356.032950577202,1.1095312833142328,0.048131210587701645,384547815.2,18487.75,0.11892693407574395,16522.75,0.060860939270683145,15574.85,0.5850409366842559,23165.7,0.0313284658534414,11669.15,-0.477627441105702
01-07-2020,10323.8,10447.05,10299.6,10430.05,573550127,28736.28,-0.12098418959007562,-0.4358399480737245,-0.36874612277012,14576.2,16087.265,16329.152500000002,15045.098221406153,15108.323281778883,0.4063813577438348,0.36178977595268524,46.749728737605594,-63.225060372729786,660.9695027418444,-724.1945631145742,25848.027252244676,6810.27774775533,1.1658749285665218,1.0600481138488473,391151859.4,11865.6,-0.3581912347365147,18487.75,0.11892693407574395,16522.75,0.060860939270683145,9826.15,-0.575831941188913,8253.8,-0.2926819862629241
01-07-2021,15755.05,15755.55,15667.05,15680.0,224921644,17359.97,0.5033484978499625,0.3214670981661272,-0.151870833389677,14597.23,16168.529999999999,16234.310000000001,15142.775418112898,15150.669705350818,0.35722210681758976,0.37376988425233054,48.72032777645299,-7.894287237919343,527.1967447458916,-535.0910319838109,25738.629090514365,6729.9909094856375,1.1708928917230683,-0.6078430926753156,370641176.2,10430.05,-0.12098418959007562,11865.6,-0.3581912347365147,18487.75,0.11892693407574395,15574.85,0.5850409366842559,14867.35,0.8012733528798859
01-07-2022,15703.7,15793.95,15511.05,15752.05,364090131,25891.94,0.004595025510204076,0.5102564225483099,0.32753927319309595,14443.09,15976.689999999999,16141.0975,15236.509969172452,15195.216393843351,0.3551940892276067,0.373748901304126,44.88433106494951,41.29357532910035,430.01611086253337,-388.722535533433,25624.89302569179,6657.301974308211,1.1751116088223603,0.6187420851325451,377872844.6,15680.0,0.5033484978499625,10430.05,-0.12098418959007562,11865.6,-0.3581912347365147,16522.75,0.060860939270683145,17670.45,0.18854066124763325
